门店ID,日期,任务销售额
a001,2019-01-01,20888
a002,2019-01-01,18221
a004,2019-01-01,17661
a005,2019-01-01,17465
a006,2019-01-01,48832
a007,2019-01-01,17647
a008,2019-01-01,14686
a009,2019-01-01,9107
a010,2019-01-01,17794
a011,2019-01-01,10087
a012,2019-01-01,12607
a013,2019-01-01,7357
a014,2019-01-01,37086
a015,2019-01-01,12243
a016,2019-01-01,30023
a017,2019-01-01,22288
a018,2019-01-01,6629
a019,2019-01-01,12404
a020,2019-01-01,12005
a021,2019-01-01,16268
a022,2019-01-01,48629
a023,2019-01-01,20811
a024,2019-01-01,6160
a025,2019-01-01,21035
a026,2019-01-01,19761
a027,2019-01-01,19964
a028,2019-01-01,24605
a029,2019-01-01,7777
a030,2019-01-01,153776
a031,2019-01-01,13622
a032,2019-01-01,22575
a033,2019-01-01,18851
a034,2019-01-01,12677
a035,2019-01-01,13083
a036,2019-01-01,10227
a037,2019-01-01,10955
a038,2019-01-01,19061
a039,2019-01-01,32830
a040,2019-01-01,26145
a041,2019-01-01,44870
a042,2019-01-01,16912
a043,2019-01-01,10521
a044,2019-01-01,7357
a045,2019-01-01,19614
a046,2019-01-01,13958
a047,2019-01-01,27657
a048,2019-01-01,16730
a049,2019-01-01,43225
a050,2019-01-01,22134
a051,2019-01-01,26271
a052,2019-01-01,19719
a053,2019-01-01,28091
a054,2019-01-01,8183
a055,2019-01-01,15050
a056,2019-01-01,13090
a057,2019-01-01,44303
a058,2019-01-01,6048
a059,2019-01-01,19432
a060,2019-01-01,8162
a061,2019-01-01,33740
a062,2019-01-01,11585
a063,2019-01-01,14420
a064,2019-01-01,8267
a065,2019-01-01,22813
a066,2019-01-01,12943
a067,2019-01-01,25102
a068,2019-01-01,13384
a069,2019-01-01,30954
a070,2019-01-01,15995
a071,2019-01-01,18893
a072,2019-01-01,21532
a073,2019-01-01,22904
a074,2019-01-01,30702
a075,2019-01-01,27384
a076,2019-01-01,16583
a077,2019-01-01,12474
a078,2019-01-01,11445
a079,2019-01-01,14231
a080,2019-01-01,12831
a081,2019-01-01,13454
a082,2019-01-01,14063
a083,2019-01-01,5299
a084,2019-01-01,28252
a085,2019-01-01,11214
a086,2019-01-01,18067
a087,2019-01-01,6300
a088,2019-01-01,12159
a089,2019-01-01,15484
a090,2019-01-01,23520
a091,2019-01-01,20090
a092,2019-01-01,19383
a093,2019-01-01,15806
a094,2019-01-01,8491
a095,2019-01-01,10675
a096,2019-01-01,15953
a097,2019-01-01,8876
a098,2019-01-01,5894
a099,2019-01-01,10052
a100,2019-01-01,17416
a101,2019-01-01,23744
a102,2019-01-01,11291
a103,2019-01-01,9639
a104,2019-01-01,7385
a105,2019-01-01,12306
a106,2019-01-01,10325
a107,2019-01-01,8001
a108,2019-01-01,8540
a109,2019-01-01,8358
a110,2019-01-01,9289
a111,2019-01-01,20272
a112,2019-01-01,17136
a113,2019-01-01,8631
a114,2019-01-01,12390
a115,2019-01-01,23142
a116,2019-01-01,14714
a117,2019-01-01,7847
a118,2019-01-01,12040
a119,2019-01-01,7427
a120,2019-01-01,8666
a121,2019-01-01,16107
a122,2019-01-01,12775
a123,2019-01-01,9597
a124,2019-01-01,8876
a125,2019-01-01,11977
a126,2019-01-01,8120
a127,2019-01-01,14049
a128,2019-01-01,11074
a129,2019-01-01,9226
a130,2019-01-01,11907
a131,2019-01-01,10941
a132,2019-01-01,9114
a133,2019-01-01,17206
a134,2019-01-01,15596
a135,2019-01-01,7350
a136,2019-01-01,0
a137,2019-01-01,0
a140,2019-01-01,0
a001,2019-01-02,7959
a002,2019-01-02,6944
a004,2019-01-02,6727
a005,2019-01-02,6657
a006,2019-01-02,18606
a007,2019-01-02,6720
a008,2019-01-02,5593
a009,2019-01-02,3472
a010,2019-01-02,6776
a011,2019-01-02,3843
a012,2019-01-02,4802
a013,2019-01-02,2800
a014,2019-01-02,14126
a015,2019-01-02,4662
a016,2019-01-02,11438
a017,2019-01-02,8491
a018,2019-01-02,2527
a019,2019-01-02,4725
a020,2019-01-02,4571
a021,2019-01-02,6195
a022,2019-01-02,18522
a023,2019-01-02,7931
a024,2019-01-02,2345
a025,2019-01-02,8015
a026,2019-01-02,7525
a027,2019-01-02,7609
a028,2019-01-02,9373
a029,2019-01-02,2961
a030,2019-01-02,58583
a031,2019-01-02,5187
a032,2019-01-02,8603
a033,2019-01-02,7182
a034,2019-01-02,4830
a035,2019-01-02,4984
a036,2019-01-02,3892
a037,2019-01-02,4172
a038,2019-01-02,7259
a039,2019-01-02,12509
a040,2019-01-02,9961
a041,2019-01-02,17094
a042,2019-01-02,6440
a043,2019-01-02,4011
a044,2019-01-02,2800
a045,2019-01-02,7469
a046,2019-01-02,5320
a047,2019-01-02,10535
a048,2019-01-02,6370
a049,2019-01-02,16464
a050,2019-01-02,8428
a051,2019-01-02,10010
a052,2019-01-02,7511
a053,2019-01-02,10703
a054,2019-01-02,3115
a055,2019-01-02,5733
a056,2019-01-02,4984
a057,2019-01-02,16877
a058,2019-01-02,2303
a059,2019-01-02,7399
a060,2019-01-02,3108
a061,2019-01-02,12852
a062,2019-01-02,4410
a063,2019-01-02,5495
a064,2019-01-02,3150
a065,2019-01-02,8687
a066,2019-01-02,4928
a067,2019-01-02,9562
a068,2019-01-02,5096
a069,2019-01-02,11788
a070,2019-01-02,6097
a071,2019-01-02,7196
a072,2019-01-02,8204
a073,2019-01-02,8722
a074,2019-01-02,11697
a075,2019-01-02,10430
a076,2019-01-02,6314
a077,2019-01-02,4753
a078,2019-01-02,4361
a079,2019-01-02,5418
a080,2019-01-02,4886
a081,2019-01-02,5124
a082,2019-01-02,5362
a083,2019-01-02,2016
a084,2019-01-02,10759
a085,2019-01-02,4270
a086,2019-01-02,6881
a087,2019-01-02,2401
a088,2019-01-02,4634
a089,2019-01-02,5901
a090,2019-01-02,8960
a091,2019-01-02,7651
a092,2019-01-02,7385
a093,2019-01-02,6020
a094,2019-01-02,3234
a095,2019-01-02,4067
a096,2019-01-02,6076
a097,2019-01-02,3381
a098,2019-01-02,2247
a099,2019-01-02,3829
a100,2019-01-02,6636
a101,2019-01-02,9044
a102,2019-01-02,4298
a103,2019-01-02,3668
a104,2019-01-02,2814
a105,2019-01-02,4690
a106,2019-01-02,3934
a107,2019-01-02,3045
a108,2019-01-02,3255
a109,2019-01-02,3185
a110,2019-01-02,3542
a111,2019-01-02,7721
a112,2019-01-02,6531
a113,2019-01-02,3290
a114,2019-01-02,4718
a115,2019-01-02,8813
a116,2019-01-02,5607
a117,2019-01-02,2989
a118,2019-01-02,4585
a119,2019-01-02,2828
a120,2019-01-02,3304
a121,2019-01-02,6139
a122,2019-01-02,4865
a123,2019-01-02,3654
a124,2019-01-02,3381
a125,2019-01-02,4564
a126,2019-01-02,3094
a127,2019-01-02,5348
a128,2019-01-02,4221
a129,2019-01-02,3514
a130,2019-01-02,4536
a131,2019-01-02,4172
a132,2019-01-02,3472
a133,2019-01-02,6559
